,hashtags,goldtruths,n1,n2,n3,n4,n5,n6,n7,n8,n9,n10
1044,WaltzWithBashir,['Waltz With Bashir'],Waltz With Bashir,WaltzWith Bashir,Walt z With Bashir,Walt zWith Bashir,Waltz With Ba shir,WaltzWithBashir,Waltz WithBashir,Waltz With Bash ir,Walt zWithBashir,Waltz W ith Bashir
1045,costsavings,['cost savings'],cost savings,costsaving s,co st savings,c ost savings,cos t savings,costsavings,cost saving s,c o st savings,costs avings,costs a vings
1046,startrekarg,['star trek arg'],startrekarg,startrek arg,star trek arg,start rekarg,star tre karg,star trekarg,start re karg,startre karg,startrek ar g,star trekar g
1047,starbucks,['starbucks'],starbucks,starbuck s,star buck s,starb ucks,star bucks,st arbucks,s tarbucks,s tar bucks,st ar bucks,star b ucks
1048,shortcakefail,['shortcake fail'],shortcake fail,short cake fail,s hortcake fail,shortcake f ail,shortcake fa il,s hort cake fail,shortcakefail,short cakefail,s hortcakefail,shortcake fai l
1049,atltweet,['atl tweet'],atltweet,atl tweet,at ltweet,a t l tweet,atltw eet,a tl tweet,a tltweet,at l tweet,a t ltweet,atlt weet
1050,howling,['howling'],howling,how ling,h ow ling,h owling,howlin g,howl ing,ho wling,h ow l ing,howl in g,howli ng
1051,rightturn,['right turn'],right turn,right t urn,rightt urn,r ightturn,right tur n,rightturn,right t u r n,r ight turn,right t ur n,righttu rn
1052,saltwater,['salt water'],saltwater,s alt water,saltwa ter,sal t water,s al t water,sa lt water,salt water,saltwat er,sal twater,s a lt water
1053,Wii,['Wii'],Wii,W ii,,,,,,,,
1054,geocache,['geocache'],geocache,g eocache,ge ocache,geoc ache,g eo cache,geo cache,geocach e,geoca che,ge o cache,geo ca che
1055,keysinmahcar,['keys in mah car'],keys in mah car,keys i n mah car,key sin mahcar,key sinmahcar,key sin mah car,keysinmahcar,keys in mahcar,keysin mah car,keysi n mah car,key sinmah car
1056,squirrel,['squirrel'],squirrel,squirre l,s quir rel,s quir r el,squir re l,s quirrel,squir rel,squirr el,squ irrel,s qu irrel
1057,psychunitentertainment,['psych unit entertainment'],psych unit entertainment,psychunitentertainment,psych un itentertainment,psychun itentertainment,psych u nit entertainment,psych uni t entertainment,psychunit entertainment,psych unitentertainment,psychu nit entertainment,psych un it entertainment
1058,oxteach,"['ox teach', 'oxteach']",ox teach,o x teach,o xteach,o x t each,o xt each,oxteach,oxt each,oxte ach,ox t each,ox te ach
1059,Kelloggs,['Kelloggs'],Kelloggs,Kell oggs,Kellog gs,K elloggs,Kel log gs,Kellogg s,Kel loggs,Kello ggs,Kell ogg s,K ell oggs
1060,noundiessunday,['no undies sunday'],no undies sunday,noundies sunday,noun dies sun day,noun diessunday,n o undies sunday,noun dies sunday,n oundies sunday,no un dies sunday,no undies sun day,no und iessunday
1061,ipv6summit,['IPv6 Summit'],ipv6summit,ip v6summit,ipv 6 summit,ipv6 summit,ip v6 summit,ipv6sum mit,ipv6 sum mit,ipv 6summit,ipv6s ummit,ipv6 summ it
1062,sparkpeople,"['spark people', 'sparkpeople']",sparkpeople,s parkpeople,spar k people,sp ark people,spa rk people,spark people,s park people,spar kpeople,s par k people,spark peopl e
1063,emcworld,"['EMC world', 'emc world']",emcworld,em cworld,e mcworld,e m c world,emcw or ld,emc world,em c world,e mc world,e m cworld,em cw or ld
1064,shortstack,"['short stack', 'ShortStack', 'Short Stack']",shortstack,shorts tack,sh or tstack,short s tack,s hort stack,short stack,short st ack,s hortstack,shorts t ack,shortst ack
1065,bremen,"['Bremen', 'bremen']",bremen,brem en,b remen,b re men,bre me n,bre men,breme n,br emen,br e men,b rem en
1066,startup2startup,"['start up 2 start up', 'startup 2 startup', 'start up 2 start up', 'startup 2 startup']",startup2startup,start up 2 start up,start up2start up,startup 2 startup,start up2 startup,start up2startup,start up2 start up,startup2 startup,start up 2 startup,startup2start up
1067,cravingsomethingsweet,['craving something sweet'],craving something sweet,cravingsomethingsweet,cravingsome thing sweet,cravingsome thingsweet,crav ing something sweet,cravingsomething sweet,craving some thing sweet,c raving something sweet,craving somethingsweet,c ravingsomething sweet
1068,TCOT,['tcot'],TCOT,TC OT,T CO T,TCO T,,,,,,
1069,Batman,['Batman'],Batman,B atman,Batma n,Ba t man,Bat man,B at man,Ba tman,B a t man,B a tman,B atma n
1070,WhyITweet,['Why I Tweet'],Why I Tweet,Why IT weet,W hy I Tweet,Why I Tw eet,WhyI Tweet,Why ITweet,WhyITweet,Wh y I Tweet,Why I T weet,Why I Twee t
1071,Diigo,['Diigo'],Diigo,Dii go,Di i go,D ii go,D iigo,Di igo,D i igo,Diig o,D i i go,D iig o
1072,Lions09,['Lions 09'],Lions 0 9,Li on s09,Lion s09,Lio ns09,Lion s 09,Lions 09,Lions09,Lions0 9,Li on s 09,Li ons09
1073,nocar,['no car'],no car,nocar,n ocar,n o ca r,n o car,noc ar,no ca r,no c ar,noca r,no c a r
1074,oew0509,['oew0509'],oew0509,oew 0509,oew 05 09,oew0 509,oe w 05 09,oe w0509,o ew0509,o ew 0509,o ew 05 09,o e w0509
1075,twat,['twat'],twat,tw at,t wat,twa t,,,,,,
1076,revision,['revision'],revision,r e vision,r evision,rev is ion,revisio n,re vision,revis ion,revisi on,revis i on,re vis ion
1077,SongStuckInMyHeadWhenIWokeUp,"['Song Stuck In My Head When I Woke Up', 'song stuck in my head when I woke up']",Song StuckInMyHead When I Woke Up,SongStuckInMyHeadWhen I Woke Up,Song StuckInMy Head When I Woke Up,Song Stuck InMyHead When I Woke Up,Song StuckInMyHeadWhenIWokeUp,SongStuckInMyHead When I Woke Up,SongStuckInMyHeadWhenIWokeUp,Song StuckInMyHeadWhen I Woke Up,SongStuckInMy Head When I Woke Up,SongStuckInMyHeadWhenI Woke Up
1078,sunshine,['sunshine'],sunshine,s unshine,s un shine,su n shine,suns hine,sun shine,su nshine,sunshin e,sunshi ne,sun shin e
1079,webraising,['web raising'],webraising,we braising,w eb raising,w ebraising,we b raising,web raising,w e braising,web rais ing,webrais ing,we brai sing
1080,monday,['monday'],monday,monda y,mond ay,m on d ay,mon da y,mon d ay,mon day,m on day,m onday,mo nday
1081,whuffaoke,"['Whuffaoke', 'whuffaoke']",whuffaoke,whuff a oke,whuf faoke,whu ffaoke,whuff aoke,whuffa oke,whuffao ke,whuff ao ke,whuffa o ke,whuffa ok e
1082,unfollowdiddy,['unfollow diddy'],unfollowdiddy,un follow diddy,unfollow d iddy,un followdiddy,unfollowdid dy,u n follow diddy,unfollow diddy,unfollowd iddy,unfollow did dy,u nfollowdiddy
1083,ignitesydney,['ignite sydney'],ignite sydney,ignite syd ney,ignit e sydney,ignitesy dney,ignitesydney,ignites ydney,ig nite sydney,ignites y dney,ignite sydne y,ignite s ydney
1084,football,['football'],football,footbal l,foo t ball,foo tb all,foot ball,foo tball,footb all,f ootball,foot b all,f oot ball
1085,bringbacklife,['bring back life'],bring back life,bringback life,bring back lif e,br ing back life,b ring back life,bring back l ife,bringbacklife,bring backlife,bringbacklif e,b ringback life
1086,djangocon,"['djangocon', 'django con', 'Django Con']",django con,djangoc on,django c on,django co n,d jangocon,djangocon,djang ocon,djangoco n,djan gocon,d jango con
1087,DaleBrown,['Dale Brown'],Dale Brown,Dal e Brown,Da le Brown,D a le Brown,D aleBrown,DaleBrown,D ale Brown,DaleBrow n,Dal eBrown,Dale Brow n
1088,bcleeds09,"['BC Leeds 09', 'bc leeds 09', 'bcleeds 09', 'bcleeds09']",bc leeds09,bc leeds 09,bcleeds 09,bcl eeds09,bcl eeds 09,bc leed s09,bcleeds09,bc leeds 0 9,bcleeds 0 9,b cleeds09
1089,140tc,"['140 tc', '140tc']",140 tc,1 40 tc,14 0 t c,140 t c,140t c,140tc,14 0 tc,1 40tc,14 0tc,1 4 0 tc
1090,hurt,['hurt'],hurt,h urt,h u r t,hur t,,,,,,
1091,finals,['finals'],finals,fina ls,f inals,fina l s,fi n als,final s,fi nals,fin als,fin a ls,f i n als
1092,teched2009,"['tech ed 2009', 'teched2009', 'teched 2009']",teched 2009,tech ed2009,teched 20 09,tech ed 20 09,te ched 2009,teche d 2009,tech ed 2009,teched2009,t eched 2009,tech e d 2009
1093,twhirl,['twhirl'],twhirl,twh irl,t wh irl,tw h irl,tw hirl,t whirl,twhir l,t w h irl,t whir l,twhi rl
1094,freenas,"['freenas', 'free nas']",freenas,free nas,free n as,free na s,f reen as,freen as,freena s,free n a s,f reenas,f ree nas
1095,zenjar,['zen jar'],zenjar,zenj ar,ze njar,zen j ar,ze n jar,zen jar,zenja r,z en jar,z enjar,ze nj ar
1096,mw2009,"['mw 2009', 'MW 2009']",mw2009,m w 2009,mw 200 9,mw200 9,mw2 009,mw 2009,m w2009,mw 20 09,mw2 0 0 9,mw 20 0 9
1097,adium,['adium'],adium,adiu m,adi um,a d i u m,a d i um,a dium,ad ium,adi u m,ad i u m,ad i um
1098,youtube,['youtube'],youtube,youtub e,you t u be,youtu be,yo utube,yo u tube,you tube,y ou tube,you tu be,y o u tube
1099,tryingnottobeastalker,['trying not to be a stalker'],trying not to be a stalker,try ing not to be a stalker,trying not to be a stalk er,trying not to be a s talker,trying not to beastalker,tryingnot to be a stalker,trying not tobe a stalker,trying not to bea stalker,trying not to beas talker,tryi ng not to be a stalker
1100,ottawa,"['ottawa', 'Ottawa']",ottawa,ot tawa,o ttawa,ot ta wa,otta wa,ottaw a,ott awa,ott aw a,ott a wa,otta w a
1101,herebeforeoprah,"['here before Oprah', 'here before oprah']",here before oprah,herebefore oprah,here beforeoprah,here be fore oprah,here before o prah,here before opra h,herebeforeoprah,her e before oprah,here before op rah,here before op r ah
1102,May24,['May 24'],May 24,May 2 4,M ay 24,M ay24,Ma y24,May24,May2 4,M ay 2 4,M a y 24,Ma y 24
1103,ialreadysoldmysoultoplantsvszombies,['i already sold my soul to plants vs zombies'],i already sold my soul to plants vs zombies,i already sold my soul to plants vs zombie s,i already sold my soul to pl ants vs zombies,i already sold my soul to plant s vs zombies,i already sold my soul to plantsvs zombies,i already sold my soul to plantsvszombies,i already sold my soul to plants vszombies,i already sold my soul to plan ts vs zombies,i already sold my soul to plants v s zombies,i already sold my soul toplantsvs zombies
1104,iamsograceful,['i am so graceful'],i am so graceful,i amso graceful,ia m so graceful,iams o graceful,iam s o graceful,iam so graceful,iamso graceful,ia mso graceful,i a m so graceful,i am so grace ful
1105,buffalo,['buffalo'],buffalo,buffa lo,buff a lo,b uffalo,buff al o,buffal o,buff alo,buffa l o,bu ffalo,buf fa lo
1106,marsiscoming,"['Mars is coming', 'mars is coming']",mars is coming,marsis coming,m ars is coming,mar s is coming,ma r s is coming,marsiscoming,mars iscoming,mars i s coming,mars is com ing,ma rs is coming
1107,ims09,['ims 09'],ims09,ims 0 9,i ms09,ims0 9,i m s 09,ims 09,im s09,im s 09,i ms 09,i m s09
